country,year,pop_value,life_expectancy_value,happiness_score_value,gni_value,internet_users_value
Spain,2017,46600000,83.0,62.3,39600,84.6
Estonia,2017,1320000,77.8,59.4,33000,88.1
Georgia,2017,3770000,73.2,44.5,13100,59.7
Indonesia,2017,264000000,70.9,51.0,10300,32.3
Malta,2017,479000,82.4,66.8,42300,81.0
New Zealand,2017,4750000,82.0,73.3,40600,87.7
Portugal,2017,10300000,81.6,57.1,32299,73.8
Thailand,2017,70900000,78.2,59.4,16800,52.9
Vietnam,2017,94000000,74.2,51.8,8620,58.1
Costa Rica,2018,5040000,80.0,71.4,20300,73.5
Germany,2018,82900000,81.2,71.2,57100,87.0
Spain,2018,46800000,83.1,65.1,40800,86.1
Estonia,2018,1320000,77.9,60.9,35600,89.4
Georgia,2018,3770000,73.3,46.6,14500,62.7
Indonesia,2018,267000000,71.1,53.4,11000,39.9
Malta,2018,492000,82.5,69.1,43700,81.7
New Zealand,2018,4840000,81.8,73.7,41000,89.0
Portugal,2018,10300000,81.7,59.2,34100,74.7
Thailand,2018,71100000,78.3,60.1,18000,56.8
Vietnam,2018,94900000,74.3,53.0,9500,69.8
Costa Rica,2019,5080000,80.1,70.0,21900,81.2
Germany,2019,83100000,81.2,70.3,60400,88.1
Spain,2019,47100000,83.1,64.6,43800,90.7
Estonia,2019,1330000,78.0,60.4,39100,90.2
Georgia,2019,3770000,73.4,48.9,16000,68.8
Indonesia,2019,270000000,71.4,53.5,11600,47.7
Malta,2019,504000,82.6,67.3,46500,85.8
New Zealand,2019,4960000,81.8,72.0,44000,89.9
Portugal,2019,10300000,81.7,61.0,36900,75.3
Thailand,2019,71300000,78.4,60.2,19200,66.7
Vietnam,2019,95800000,74.5,54.7,10500,68.7
Costa Rica,2020,5120000,78.9,63.4,20800,80.5
Germany,2020,83300000,81.0,73.1,59600,89.8
Spain,2020,47400000,81.5,65.0,39100,93.2
Estonia,2020,1330000,77.7,64.5,39500,89.1
Georgia,2020,3770000,72.6,51.2,16000,72.5
Indonesia,2020,272000000,71.4,48.3,11400,53.7
Malta,2020,515000,82.3,61.6,44300,86.9
New Zealand,2020,5060000,81.8,72.6,44400,95.2
Portugal,2020,10300000,80.9,57.7,35300,78.3
